Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,155,6,Some Random Commen with Id 0
1,0,0,38,5,Some Random Commen with Id 1
2,0,0,57,7,Some Random Commen with Id 2
3,0,0,174,6,Some Random Commen with Id 3
4,0,0,147,1,Some Random Commen with Id 4
5,0,0,32,6,Some Random Commen with Id 5
6,0,0,49,1,Some Random Commen with Id 6
7,0,0,38,4,Some Random Commen with Id 7
8,1,0,45,7,Some Random Commen with Id 8
9,1,0,71,9,Some Random Commen with Id 9
10,2,2,28,9,Some Random Commen with Id 10
11,2,2,104,4,Some Random Commen with Id 11
12,2,2,153,2,Some Random Commen with Id 12
13,2,2,175,1,Some Random Commen with Id 13
14,3,1,46,2,Some Random Commen with Id 14
15,3,1,117,2,Some Random Commen with Id 15
16,3,1,193,9,Some Random Commen with Id 16
17,3,1,154,0,Some Random Commen with Id 17
18,3,1,93,6,Some Random Commen with Id 18
19,3,1,189,0,Some Random Commen with Id 19
20,4,2,1,4,Some Random Commen with Id 20
21,4,2,175,5,Some Random Commen with Id 21
22,4,2,68,0,Some Random Commen with Id 22
23,4,2,71,6,Some Random Commen with Id 23
24,4,2,94,3,Some Random Commen with Id 24
25,4,2,52,6,Some Random Commen with Id 25
26,5,3,0,1,Some Random Commen with Id 26
27,5,3,97,1,Some Random Commen with Id 27
28,5,3,75,6,Some Random Commen with Id 28
29,5,3,149,5,Some Random Commen with Id 29
30,5,3,24,4,Some Random Commen with Id 30
31,6,3,33,2,Some Random Commen with Id 31
32,6,3,191,6,Some Random Commen with Id 32
33,6,3,73,0,Some Random Commen with Id 33
34,6,3,81,9,Some Random Commen with Id 34
35,6,3,159,1,Some Random Commen with Id 35
36,7,2,90,9,Some Random Commen with Id 36
37,7,2,75,3,Some Random Commen with Id 37
38,7,2,64,1,Some Random Commen with Id 38
39,7,2,132,5,Some Random Commen with Id 39
40,8,7,71,7,Some Random Commen with Id 40
41,8,7,96,3,Some Random Commen with Id 41
42,8,7,13,4,Some Random Commen with Id 42
43,9,9,117,8,Some Random Commen with Id 43
44,9,9,13,1,Some Random Commen with Id 44
45,9,9,153,1,Some Random Commen with Id 45
46,9,9,171,0,Some Random Commen with Id 46
47,9,9,54,4,Some Random Commen with Id 47
48,9,9,154,7,Some Random Commen with Id 48
49,9,9,93,5,Some Random Commen with Id 49
50,10,5,22,2,Some Random Commen with Id 50
51,10,5,143,9,Some Random Commen with Id 51
52,10,5,29,5,Some Random Commen with Id 52
53,10,5,158,2,Some Random Commen with Id 53
54,10,5,77,0,Some Random Commen with Id 54
55,11,1,16,7,Some Random Commen with Id 55
56,11,1,183,9,Some Random Commen with Id 56
57,11,1,48,7,Some Random Commen with Id 57
58,11,1,112,5,Some Random Commen with Id 58
59,11,1,80,3,Some Random Commen with Id 59
60,11,1,108,9,Some Random Commen with Id 60
61,11,1,76,9,Some Random Commen with Id 61
62,11,1,51,9,Some Random Commen with Id 62
63,11,1,23,1,Some Random Commen with Id 63
64,12,1,132,6,Some Random Commen with Id 64
65,12,1,77,6,Some Random Commen with Id 65
66,13,4,59,9,Some Random Commen with Id 66
67,13,4,101,2,Some Random Commen with Id 67
68,13,4,59,8,Some Random Commen with Id 68
69,13,4,75,8,Some Random Commen with Id 69
70,13,4,133,8,Some Random Commen with Id 70
71,13,4,40,2,Some Random Commen with Id 71
72,13,4,84,6,Some Random Commen with Id 72
73,13,4,96,5,Some Random Commen with Id 73
74,13,4,94,8,Some Random Commen with Id 74
75,14,0,55,7,Some Random Commen with Id 75
76,14,0,44,4,Some Random Commen with Id 76
77,14,0,71,6,Some Random Commen with Id 77
78,14,0,143,8,Some Random Commen with Id 78
79,14,0,191,2,Some Random Commen with Id 79
80,14,0,21,3,Some Random Commen with Id 80
81,14,0,76,2,Some Random Commen with Id 81
82,15,3,170,7,Some Random Commen with Id 82
83,15,3,138,8,Some Random Commen with Id 83
84,15,3,185,5,Some Random Commen with Id 84
85,15,3,113,8,Some Random Commen with Id 85
86,15,3,181,1,Some Random Commen with Id 86
87,15,3,164,4,Some Random Commen with Id 87
88,16,1,165,9,Some Random Commen with Id 88
89,16,1,73,0,Some Random Commen with Id 89
90,16,1,30,1,Some Random Commen with Id 90
91,17,5,117,9,Some Random Commen with Id 91
92,17,5,57,1,Some Random Commen with Id 92
93,17,5,6,0,Some Random Commen with Id 93
94,17,5,37,8,Some Random Commen with Id 94
95,17,5,184,1,Some Random Commen with Id 95
96,17,5,113,8,Some Random Commen with Id 96
97,17,5,65,2,Some Random Commen with Id 97
98,17,5,126,2,Some Random Commen with Id 98
99,17,5,93,7,Some Random Commen with Id 99
100,19,0,90,2,Some Random Commen with Id 100
101,19,0,87,1,Some Random Commen with Id 101
102,19,0,198,0,Some Random Commen with Id 102
103,19,0,139,7,Some Random Commen with Id 103
104,19,0,42,2,Some Random Commen with Id 104
105,19,0,177,5,Some Random Commen with Id 105
106,19,0,94,6,Some Random Commen with Id 106
107,20,7,138,2,Some Random Commen with Id 107
108,20,7,122,8,Some Random Commen with Id 108
109,20,7,85,5,Some Random Commen with Id 109
110,20,7,140,7,Some Random Commen with Id 110
111,20,7,64,0,Some Random Commen with Id 111
112,20,7,130,9,Some Random Commen with Id 112
113,20,7,112,0,Some Random Commen with Id 113
114,21,6,106,4,Some Random Commen with Id 114
115,21,6,99,4,Some Random Commen with Id 115
116,21,6,25,9,Some Random Commen with Id 116
117,21,6,173,6,Some Random Commen with Id 117
118,22,2,112,3,Some Random Commen with Id 118
119,22,2,3,7,Some Random Commen with Id 119
120,22,2,43,7,Some Random Commen with Id 120
121,22,2,103,2,Some Random Commen with Id 121
122,22,2,104,6,Some Random Commen with Id 122
123,22,2,25,2,Some Random Commen with Id 123
124,22,2,14,5,Some Random Commen with Id 124
125,24,1,58,0,Some Random Commen with Id 125
126,24,1,151,9,Some Random Commen with Id 126
127,24,1,93,7,Some Random Commen with Id 127
128,24,1,35,9,Some Random Commen with Id 128
129,24,1,15,8,Some Random Commen with Id 129
130,24,1,32,6,Some Random Commen with Id 130
131,24,1,8,1,Some Random Commen with Id 131
132,24,1,61,4,Some Random Commen with Id 132
133,24,1,131,4,Some Random Commen with Id 133
134,25,2,152,8,Some Random Commen with Id 134
135,25,2,29,5,Some Random Commen with Id 135
136,25,2,162,9,Some Random Commen with Id 136
137,25,2,148,2,Some Random Commen with Id 137
138,25,2,122,2,Some Random Commen with Id 138
139,25,2,197,2,Some Random Commen with Id 139
140,25,2,130,2,Some Random Commen with Id 140
141,25,2,31,8,Some Random Commen with Id 141
142,25,2,54,6,Some Random Commen with Id 142
143,28,8,188,5,Some Random Commen with Id 143
144,28,8,76,4,Some Random Commen with Id 144
145,28,8,171,9,Some Random Commen with Id 145
146,28,8,91,2,Some Random Commen with Id 146
147,28,8,130,7,Some Random Commen with Id 147
148,28,8,189,7,Some Random Commen with Id 148
149,28,8,179,6,Some Random Commen with Id 149
150,29,0,179,7,Some Random Commen with Id 150
151,29,0,130,9,Some Random Commen with Id 151
152,30,7,79,4,Some Random Commen with Id 152
153,30,7,80,0,Some Random Commen with Id 153
154,30,7,69,2,Some Random Commen with Id 154
155,30,7,147,3,Some Random Commen with Id 155
156,30,7,189,9,Some Random Commen with Id 156
157,30,7,11,6,Some Random Commen with Id 157
158,30,7,169,8,Some Random Commen with Id 158
159,30,7,22,8,Some Random Commen with Id 159
160,31,6,15,3,Some Random Commen with Id 160
161,32,1,57,4,Some Random Commen with Id 161
162,32,1,28,8,Some Random Commen with Id 162
163,32,1,49,0,Some Random Commen with Id 163
164,32,1,56,5,Some Random Commen with Id 164
